"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: B","Param: N","Param: k"
"com.benchmark.InputStreamBenchmark.testMyInputStream1","avgt",1,5,0.273248,0.018152,"ms/op",1048576,10000000,1
"com.benchmark.InputStreamBenchmark.testMyInputStream1","avgt",1,5,0.334666,0.020853,"ms/op",1048576,10000000,2
"com.benchmark.InputStreamBenchmark.testMyInputStream1","avgt",1,5,1.439895,0.562934,"ms/op",1048576,10000000,15
"com.benchmark.InputStreamBenchmark.testMyInputStream1","avgt",1,5,2.694449,1.372463,"ms/op",1048576,10000000,30
"com.benchmark.InputStreamBenchmark.testMyInputStream1","avgt",1,5,2.153099,0.139146,"ms/op",1048576,100000000,1
"com.benchmark.InputStreamBenchmark.testMyInputStream1","avgt",1,5,2.274221,0.256723,"ms/op",1048576,100000000,2
"com.benchmark.InputStreamBenchmark.testMyInputStream1","avgt",1,5,3.297690,0.844919,"ms/op",1048576,100000000,15
"com.benchmark.InputStreamBenchmark.testMyInputStream1","avgt",1,5,4.557231,2.263878,"ms/op",1048576,100000000,30
"com.benchmark.InputStreamBenchmark.testMyInputStream1","avgt",1,5,0.272795,0.049764,"ms/op",4194304,10000000,1
"com.benchmark.InputStreamBenchmark.testMyInputStream1","avgt",1,5,0.330901,0.013382,"ms/op",4194304,10000000,2
"com.benchmark.InputStreamBenchmark.testMyInputStream1","avgt",1,5,1.186811,0.103891,"ms/op",4194304,10000000,15
"com.benchmark.InputStreamBenchmark.testMyInputStream1","avgt",1,5,2.174603,0.431927,"ms/op",4194304,10000000,30
"com.benchmark.InputStreamBenchmark.testMyInputStream1","avgt",1,5,1.974465,0.048844,"ms/op",4194304,100000000,1
"com.benchmark.InputStreamBenchmark.testMyInputStream1","avgt",1,5,2.055326,0.085394,"ms/op",4194304,100000000,2
"com.benchmark.InputStreamBenchmark.testMyInputStream1","avgt",1,5,2.900343,0.326564,"ms/op",4194304,100000000,15
"com.benchmark.InputStreamBenchmark.testMyInputStream1","avgt",1,5,3.933446,0.449025,"ms/op",4194304,100000000,30
"com.benchmark.InputStreamBenchmark.testMyInputStream2","avgt",1,5,0.262263,0.017394,"ms/op",1048576,10000000,1
"com.benchmark.InputStreamBenchmark.testMyInputStream2","avgt",1,5,0.328816,0.019582,"ms/op",1048576,10000000,2
"com.benchmark.InputStreamBenchmark.testMyInputStream2","avgt",1,5,1.191592,0.081875,"ms/op",1048576,10000000,15
"com.benchmark.InputStreamBenchmark.testMyInputStream2","avgt",1,5,2.173204,0.217021,"ms/op",1048576,10000000,30
"com.benchmark.InputStreamBenchmark.testMyInputStream2","avgt",1,5,2.018698,0.103618,"ms/op",1048576,100000000,1
"com.benchmark.InputStreamBenchmark.testMyInputStream2","avgt",1,5,2.092798,0.087545,"ms/op",1048576,100000000,2
"com.benchmark.InputStreamBenchmark.testMyInputStream2","avgt",1,5,2.973078,0.355839,"ms/op",1048576,100000000,15
"com.benchmark.InputStreamBenchmark.testMyInputStream2","avgt",1,5,3.867527,0.206611,"ms/op",1048576,100000000,30
"com.benchmark.InputStreamBenchmark.testMyInputStream2","avgt",1,5,0.261895,0.009772,"ms/op",4194304,10000000,1
"com.benchmark.InputStreamBenchmark.testMyInputStream2","avgt",1,5,0.325284,0.016777,"ms/op",4194304,10000000,2
"com.benchmark.InputStreamBenchmark.testMyInputStream2","avgt",1,5,1.170965,0.023973,"ms/op",4194304,10000000,15
"com.benchmark.InputStreamBenchmark.testMyInputStream2","avgt",1,5,2.367189,1.022860,"ms/op",4194304,10000000,30
"com.benchmark.InputStreamBenchmark.testMyInputStream2","avgt",1,5,2.033939,0.077632,"ms/op",4194304,100000000,1
"com.benchmark.InputStreamBenchmark.testMyInputStream2","avgt",1,5,2.153166,0.153582,"ms/op",4194304,100000000,2
"com.benchmark.InputStreamBenchmark.testMyInputStream2","avgt",1,5,2.996165,0.392561,"ms/op",4194304,100000000,15
"com.benchmark.InputStreamBenchmark.testMyInputStream2","avgt",1,5,3.928164,0.204696,"ms/op",4194304,100000000,30
"com.benchmark.InputStreamBenchmark.testMyInputStream3","avgt",1,5,4.881693,7.332308,"ms/op",1048576,10000000,1
"com.benchmark.InputStreamBenchmark.testMyInputStream3","avgt",1,5,4.786091,9.292686,"ms/op",1048576,10000000,2
"com.benchmark.InputStreamBenchmark.testMyInputStream3","avgt",1,5,1.888021,0.136690,"ms/op",1048576,10000000,15
"com.benchmark.InputStreamBenchmark.testMyInputStream3","avgt",1,5,3.558208,0.279604,"ms/op",1048576,10000000,30
"com.benchmark.InputStreamBenchmark.testMyInputStream3","avgt",1,5,2.096433,0.098261,"ms/op",1048576,100000000,1
"com.benchmark.InputStreamBenchmark.testMyInputStream3","avgt",1,5,2.278541,0.240828,"ms/op",1048576,100000000,2
"com.benchmark.InputStreamBenchmark.testMyInputStream3","avgt",1,5,3.590128,0.108228,"ms/op",1048576,100000000,15
"com.benchmark.InputStreamBenchmark.testMyInputStream3","avgt",1,5,5.333829,0.425636,"ms/op",1048576,100000000,30
"com.benchmark.InputStreamBenchmark.testMyInputStream3","avgt",1,5,3.771042,10.566246,"ms/op",4194304,10000000,1
"com.benchmark.InputStreamBenchmark.testMyInputStream3","avgt",1,5,2.430921,9.022045,"ms/op",4194304,10000000,2
"com.benchmark.InputStreamBenchmark.testMyInputStream3","avgt",1,5,4.126246,1.936444,"ms/op",4194304,10000000,15
"com.benchmark.InputStreamBenchmark.testMyInputStream3","avgt",1,5,7.936297,3.511898,"ms/op",4194304,10000000,30
"com.benchmark.InputStreamBenchmark.testMyInputStream3","avgt",1,5,2.392491,0.081758,"ms/op",4194304,100000000,1
"com.benchmark.InputStreamBenchmark.testMyInputStream3","avgt",1,5,2.767653,0.266571,"ms/op",4194304,100000000,2
"com.benchmark.InputStreamBenchmark.testMyInputStream3","avgt",1,5,6.252612,3.348691,"ms/op",4194304,100000000,15
"com.benchmark.InputStreamBenchmark.testMyInputStream3","avgt",1,5,10.451720,6.423273,"ms/op",4194304,100000000,30
"com.benchmark.InputStreamBenchmark.testMyInputStream4","avgt",1,5,2.160804,9.030335,"ms/op",1048576,10000000,1
"com.benchmark.InputStreamBenchmark.testMyInputStream4","avgt",1,5,1.592917,0.278881,"ms/op",1048576,10000000,2
